27;Eşitmə məhdudiyyətli uşaqlar tikməyi bacarır, toxumağı bacarır, rəsm çəkməyi bacarır;eşitmə məhdudiyyətli uşaqlar tikməyi bacarır, toxumağı bacarır, rəsm çəkməyi bacarır
28;Gəlin birlikdə işarət dilini öyrənək;gəlin birlikdə işarət dilini öyrənək
29;Hamı deyir ki işarət dilini öyrənmək çox çətindir amma yox asandır;hamı deyir ki işarət dilini öyrənmək çox çətindir amma yox asandır
30;Hamıya salam. Mən xüsusi məktəbdə işləyirəm;hamıya salam. mən xüsusi məktəbdə işləyirəm
31;Heyva, nazr payızda yetişir;heyva, nazr payızda yetişir
32;Hər gün evdəyəm çox darıxıram;hər gün evdəyəm çox darıxıram
33;Həyət evimizdə çoxlu ağaclar və ev heyvanları var;həyət evimizdə çoxlu ağaclar və ev heyvanları var
34;Indi bir az işim var;indi bir az işim var
35;Keçən il oğlum məktəbi bitirdi. İndi universitetdə təhsil alır;keçən il oğlum məktəbi bitirdi. i̇ndi universitetdə təhsil alır
36;Kim var, kim yoxdur_;kim var, kim yoxdur_
37;Mart ayında çoxlu bayram var;mart ayında çoxlu bayram var
38;Mağazada çoxlu adam var idi;mağazada çoxlu adam var idi
39;Mağazadan 10 yumurta aldım;mağazadan 10 yumurta aldım
40;Müəllim ev tapşırıqlarını yoxladı, hamısı düzdür;müəllim ev tapşırıqlarını yoxladı, hamısı düzdür
41;Məktəbdə ildə bir dəfə imtahan olur;məktəbdə ildə bir dəfə imtahan olur
42;Məktəbimizdə zəifeşidən və eşitməsi tamamilə məhdud olan uşaqlar təhsil alır;məktəbimizdə zəifeşidən və eşitməsi tamamilə məhdud olan uşaqlar təhsil alır
43;Mən Avropada olmuşam;mən avropada olmuşam
44;Mən Bakıda yaşayıram;Mən Bakı yaşamaq
45;Mən atları sevirəm;mən atları sevirəm
46;Mən eşitmə məhdudiyyətli uşaqlara dərs keçirəm;mən eşitmə məhdudiyyətli uşaqlara dərs keçirəm
47;Mən futbol oynayıram;mən futbol oynayıram
48;Mən həftədə 5 gün işləyirəm;mən həftədə 5 gün işləyirəm
49;Mən ilandan qorxuram;mən ilandan qorxuram
50;Mən oxlum xiyarı xoşlayır amma pomidordan iyrənir;mən oxlum xiyarı xoşlayır amma pomidordan iyrənir
51;Mən qara rəngi sevirəm;mən qara rəngi sevirəm
52;Mən qışda səyahət etməyi sevirəm;mən qışda səyahət etməyi sevirəm
53;Mən rus dilini bilirəm;mən rus dilini bilirəm
54;Mən sabah saat 2də səni Gənclik metrosunda gözləyəcəm;mən sabah saat 2də səni gənclik metrosunda gözləyəcəm
55;Mən sabah şəhərə gəzməyə gedəcəm;mən sabah şəhərə gəzməyə gedəcəm
56;Mən uşaqlıqdan tərcüməçiliyi xoşlayıram;mən uşaqlıqdan tərcüməçiliyi xoşlayıram
57;Mən uşağın valideyninə şikayət etdim;mən uşağın valideyninə şikayət etdim
58;Mən çox yorğunam, yatmaq istəyirəm;mən çox yorğunam, yatmaq istəyirəm
59;Məndə problem yoxdur;məndə problem yoxdur
60;Məndə çoxlu maraqlı kitablar var;məndə çoxlu maraqlı kitablar var
61;Mənim 2 oğlum var;mənim 2 oğlum var
62;Mənim 2 oğlum var. Böyük oğlumun 18, kiçik oğlumun 13 yaşı var;mənim 2 oğlum var. böyük oğlumun 18, kiçik oğlumun 13 yaşı var
63;Mənim 24 yaşım var;mənim 24 yaşım var
64;Mənim anam uzaqda yaşayır;mənim anam uzaqda yaşayır
65;Mənim ideyalarım çoxdur;mənim ideyalarım çoxdur
66;Mənim oğlum sosiska və kolbasanı çox xoşlayır;mənim oğlum sosiska və kolbasanı çox xoşlayır
67;Mənim oğlum səyahət etməyi sevir;mənim oğlum səyahət etməyi sevir
68;Mənim oğlumun on səkkiz yaşı var;mənim oğlumun on səkkiz yaşı var
69;Mənim planım çoxdur;mənim planım çoxdur
70;Mənim qara pişiyim var;mənim qara pişiyim var
71;Mənim rəngli futbolkalarım var;mənim rəngli futbolkalarım var
72;Mənim sabah 2 nəfərlə online görüşüm olacaq;mənim sabah 2 nəfərlə online görüşüm olacaq
73;Mənim valideynlərim eşitmə məhdudiyyətlidir;mənim valideynlərim eşitmə məhdudiyyətlidir
74;Mənim valideynlərim müəllimdir;mənim valideynlərim müəllimdir
75;Mənim şkafımda çoxlu futbolka var;mənim şkafımda çoxlu futbolka var
76;Novruz bayramı yaxınlaşır;novruz bayramı yaxınlaşır
77;Oğlan, üzməyi ( bilmir) bacarmır;oğlan, üzməyi ( bilmir) bacarmır
78;Qardaşım maşın almaq istəyir amma sürücülük vəsiqəsi yoxdur;qardaşım maşın almaq istəyir amma sürücülük vəsiqəsi yoxdur
79;Qonaq orağında böyük televizor var;qonaq orağında böyük televizor var
80;Qız çox tənbəldir;qız çox tənbəldir
81;Qışda özümə çəkmə aldım, çox baha idi;qışda özümə çəkmə aldım, çox baha idi
82;Qəsdən səhv yazılmış cümlə;qəsdən səhv yazılmış cümlə
83;Sabah axşam görüşə bilərikmi_;sabah axşam görüşə bilərikmi_
84;Sabah bacımla birlikdə teatra getmək istəyirəm;sabah bacımla birlikdə teatra getmək istəyirəm
85;Sabah dayım oğlunun toyu olacaq;sabah dayım oğlunun toyu olacaq
86;Sabah görüşək_ Hə (bəli) problem yoxdur;sabah görüşək_ hə (bəli) problem yoxdur
87;Sabah oğlumun imtahanı olacaq, çpx narahatam;sabah oğlumun imtahanı olacaq, çpx narahatam
88;Sabah rəfiqəmgilə qonaq gedəcəm;sabah rəfiqəmgilə qonaq gedəcəm
89;Sabah səhər tezdən isti çörək alacam;sabah səhər tezdən isti çörək alacam
90;Sabah yox birisigün (iki gün sonra) ailəmlə birlikdə rayona gedəcəyik;sabah yox birisigün (iki gün sonra) ailəmlə birlikdə rayona gedəcəyik
91;Sabah yox birisigün bazar günüdür, iş yoxdur;sabah yox birisigün bazar günüdür, iş yoxdur
92;Salam, dəyərli dostlar !;salam, dəyərli dostlar !
93;Sinif otağında çoxlu güllər var;sinif otağında çoxlu güllər var
94;Sinif yoldaşım çox gözəl qızdır;sinif yoldaşım çox gözəl qızdır
95;Sizə indi kömək lazımdır_;sizə indi kömək lazımdır_
96;Sırağagün axşam çoxlu yağış yağdı amma səhər gün çıxdı. (Günəş var idi);sırağagün axşam çoxlu yağış yağdı amma səhər gün çıxdı. (günəş var idi)
97;Səmada təyyarə çox görmək olar;səmada təyyarə çox görmək olar
98;Sənin neçə yaşın var_;sənin neçə yaşın var_
99;Türkiyədə işarət dili fərqlidir;türkiyədə işarət dili fərqlidir
100;Uşaq səhər tezdən yuxudan oyanır;uşaq səhər tezdən yuxudan oyanır
101;Uşağın sarı, qırmızı, göy corabları var;uşağın sarı, qırmızı, göy corabları var
102;Xama, kəsmik, qatıq çox faydalıdır;xama, kəsmik, qatıq çox faydalıdır
103;Yayda hava çox isti olacaq;yayda hava çox isti olacaq
104;Yayda metroda çox isti olur;yayda metroda çox isti olur
105;Yazda ağaclar yaşıl olur;yazda ağaclar yaşıl olur
106;Yazda hava isti olacaq;yazda hava isti olacaq
107;Yemək çox istiotlu idi;yemək çox istiotlu idi
108;gitara;gitara
109;Çoxlu meyvə yemək lazımdır;çoxlu meyvə yemək lazımdır
110;Özümə idman kostyumu sifariş vermək istəyirəm;özümə idman kostyumu sifariş vermək istəyirəm
111;İndi fevral ayıdır, çox soyuqdur;i̇ndi fevral ayıdır, çox soyuqdur
112;İndi qışdır, amma hava çox istidir;i̇ndi qışdır, amma hava çox istidir
113;İstirahət bitdi, iş başladı;i̇stirahət bitdi, iş başladı
114;İtaliya çox gözəldir;i̇taliya çox gözəldir
115;İşarə dili çox mürəkkəb və həmçinin çox maraqlıdır;i̇şarə dili çox mürəkkəb və həmçinin çox maraqlıdır
116;İşarət dilində maraqlı məlumatlar çoxdur;i̇şarət dilində maraqlı məlumatlar çoxdur
117;İşarət dilini düzgün öyrənmək lazımdır;i̇şarət dilini düzgün öyrənmək lazımdır
118;İşarət dilini öyrənmək hamıya lazımdır;i̇şarət dilini öyrənmək hamıya lazımdır
119;Şkafda çoxlu köhnə banka var;şkafda çoxlu köhnə banka var
120;Əvvəl məktəbimiz çox köhnə idi;əvvəl məktəbimiz çox köhnə idi
